,id,artist_name,track_name,album_name,artist_genre,release_date,artist_popularity,track_popularity,artist_followers,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2265,4apkIxe5Nj0dvxVWt1rE0I,Antonia,Hurricane,This Is Antonia,['romanian pop'],2015-04-23,51,27,124061,259630,0.885,9,-3.512,0.0922,0.0219,0.0,0.236,0.428,80.986,259630,4
2266,6MBbiJMVwaNE2jJoFXUHuM,Uddi,Aseară Ţi-Am Luat Basma,Aseară Ţi-Am Luat Basma,['romanian pop'],2015-05-12,33,0,23038,202789,0.8,2,-3.102,0.226,0.0293,9.71e-06,0.292,0.792,173.897,202789,4
2267,5SohM3spl9OXn9XW0Lyyou,ROA (Rise Of Artificial),Ne Place - Video Version,Ne Place,"['romanian pop', 'romanian rock']",2010-06-28,25,0,3693,202141,0.729,6,-4.853,0.134,0.0563,0.00473,0.19,0.961,127.981,202141,4
2268,17GKEPxC6mMYHotKnaqFcp,Vlad Dobrescu,Globul De Cristal,În Sfârșit,['romanian rap'],2013-12-08,35,36,40554,288840,0.758,7,-2.73,0.142,0.513,0.0,0.34,0.634,90.002,288840,4
2269,0Fb9wmBVHTTRrzy5I0juwr,Cheloo,O Zi Ca Oricare Alta,O Zi Ca Oricare Alta,['romanian rap'],2015-12-23,45,48,154493,177865,0.4,2,-6.533,0.366,0.656,0.0,0.07,0.68,94.071,177865,4
2270,6X6HyqqrIOL0iNM6JIt4SZ,Speak,Profund,Profund,['romanian pop'],2015-03-06,32,33,15098,186903,0.63,4,-6.265,0.042,0.0748,9.72e-06,0.173,0.597,112.978,186903,4
2271,5YiJMUbhDtly1n5SeoK7dw,Grasu XXL,Deja Vu,Deja Vu,['romanian rap'],2013-09-18,42,0,173349,190868,0.841,1,-5.354,0.15,0.0456,0.00174,0.0928,0.687,169.913,190868,4
2272,3WdqgpujpAkpjxK0QFZ5PX,Cabron,Frunzele Şi Iarba,Frunzele Şi Iarba,['romanian rap'],2013,39,0,53646,197233,0.712,6,-4.313,0.202,0.0661,0.0,0.065,0.699,79.932,197233,4
2273,4rSDFMGMvw9o9yBGrgx5BC,Voltaj,Da Vina Pe Voltaj,Da Vina Pe Voltaj,"['classic romanian pop', 'eurovision', 'romanian pop']",2011-06-23,34,0,80121,195692,0.822,8,-5.527,0.103,0.062,7.06e-06,0.0823,0.961,130.002,195692,4
2274,3fCgitYXAr9FAyVKMgzicC,Subcarpaţi,"Frunzulița, Iarba Deasă",Piele De Gaina,"['romanian rap', 'romanian rock']",2014-06-21,41,37,99679,344003,0.466,0,-10.841,0.101,0.675,0.0,0.178,0.64,80.023,344003,4
2275,5taqoilqI8tb3hbxO6eyyg,Subcarpaţi,Rege Pe Deal,Piele De Gaina,"['romanian rap', 'romanian rock']",2014-06-21,41,35,99679,241448,0.678,10,-10.446,0.228,0.365,0.0,0.104,0.399,138.063,241448,4
